rand_beta,rand_w_weights_beta,opt_beta,opt_w_weights
"[-0.08798618790785263, -0.02847452105356169]","[-0.17185831359326006, -0.22661577730256927]","[-0.07180504792567571, 0.0007799328639626605]","[-0.18552327392751122, -0.21461320884189733]"
"[-0.06823513181198673, 0.0019218292055754914]","[-0.17110858329285702, -0.20095631737306016]","[-0.0719987828490792, 0.004967976943889751]","[-0.19354616203010172, -0.20918266111087458]"
"[-0.09939241907483512, -0.039010133984046395]","[-0.12857881560685905, -0.17810656956170015]","[-0.07820205325899192, 0.001249873000024004]","[-0.20675402721009398, -0.21088306809028118]"
"[-0.10603206172911266, -0.01357125374859824]","[-0.18055401389639314, -0.20093831895455677]","[-0.091360399017372, -0.0047996945104701785]","[-0.19574238995448998, -0.2046529871520789]"
"[-0.06658759580431238, 0.0046260319205082565]","[-0.15952452680987386, -0.20916234609744536]","[-0.06690480922363047, 0.013009435368137081]","[-0.17654644028186542, -0.20275392052735453]"
"[-0.07121474150415463, -0.010416049149614255]","[-0.13085655797310972, -0.18615988640996553]","[-0.05676325741112425, -0.003267120198520652]","[-0.17440817528077765, -0.20292586156632655]"
"[-0.10280595231762542, -0.049533438069421426]","[-0.1357406031665723, -0.18997473771367102]","[-0.09594744870909604, -0.03552862139845141]","[-0.18712017639920273, -0.2125408828323546]"
"[-0.06861590103379349, -0.009433196878165056]","[-0.14413274316015195, -0.18619692461868667]","[-0.06153565257095593, -0.0005804238118973613]","[-0.18776262076058398, -0.2277656160124311]"
"[-0.09875199453946584, -0.019097285816932534]","[-0.1907496624731023, -0.23460011871104075]","[-0.08999133743735573, -0.003488718363874352]","[-0.19743468721634214, -0.21703722515199297]"
"[-0.10871939586154758, -0.008812789525575545]","[-0.18925223359834795, -0.22851407495926238]","[-0.09021697701128653, -0.005267680118715019]","[-0.20166123007351197, -0.22902771047916795]"
"[-0.11009942339106399, -0.05415783548799692]","[-0.17149495426136657, -0.20165347981026074]","[-0.06990817704446493, -0.024871288428688437]","[-0.16880543010570337, -0.21948204787663045]"
"[-0.07378874618278958, -0.0003894543435727601]","[-0.15520564508811874, -0.19262557340483663]","[-0.08009070708470992, 0.007191602535434853]","[-0.17876447021490124, -0.1998564857813721]"
"[-0.08274993132068033, -0.0699316808041479]","[-0.1576344444166715, -0.20279869582848165]","[-0.09168846670894533, -0.03651199140879278]","[-0.1948708115874723, -0.2242430879963352]"
"[-0.10741508108761194, -0.01267482851886329]","[-0.20896160848238046, -0.20881239662377643]","[-0.07919430526120451, 0.006818281973601143]","[-0.21190844379285403, -0.21305558553721682]"
"[-0.12027622413511334, -0.019065092242288525]","[-0.1883982101202516, -0.1830539244645959]","[-0.08148011104962298, -0.002986732736748158]","[-0.19097862899942925, -0.20676757594584078]"
"[-0.11103265205979425, -0.03196210655288342]","[-0.1739749727450625, -0.20135519779754907]","[-0.07274242471825808, 0.004048168876738682]","[-0.1902602727946346, -0.2051256450542514]"
"[-0.0971441631437144, -0.01004593612966948]","[-0.12238512973687699, -0.13118762750623272]","[-0.08434455755138637, -0.009309131230851628]","[-0.1881059693273742, -0.20269930209106107]"
"[-0.09943955338699356, -0.01957058470491593]","[-0.17467293797788486, -0.20394152275500416]","[-0.06551661746391457, 0.0065237250679718965]","[-0.19304091344434876, -0.22181460268919834]"
"[-0.05080565586753422, -0.00818832935295491]","[-0.10389097804866022, -0.19009003184305703]","[-0.07187781062199836, 0.005023142163511086]","[-0.15785335271794673, -0.18885676099689527]"
"[-0.0648463897420303, 0.0045943515297586016]","[-0.26886881981880056, -0.41421964949032186]","[-0.0683133408840418, -0.002758105090225085]","[-0.19726881313959901, -0.23169856719070586]"
"[-0.09840103086809264, -0.019774790790136304]","[-0.1722606346597936, -0.19739923585967645]","[-0.09139440558893969, -0.015281479861877022]","[-0.18745822537920262, -0.2028591681184412]"
"[-0.08723772241758149, -0.08660985279682376]","[-0.16441878546964836, -0.225966733619872]","[-0.07671324238801215, -0.011787780594484177]","[-0.18795604374973174, -0.21484123202113808]"
"[-0.05918185533623278, 0.0007998267238495084]","[-0.13510155096101514, -0.1841083024852134]","[-0.06424019827322751, 0.0030186012461521526]","[-0.18221470530650008, -0.21407164126969933]"
"[-0.05931555282988891, -0.0648291723494301]","[-0.12614805191019388, -0.1810918797729404]","[-0.06321214371058301, -0.009309107276456131]","[-0.18385800911071823, -0.21501348507988363]"
"[-0.10462123280679429, -0.01144454961436577]","[-0.2347220790770433, -0.29921821876780563]","[-0.06595465602762843, 0.007569646730290902]","[-0.19430982646659786, -0.2306362540643663]"
"[-0.09008219672582285, 0.003890588524763435]","[-0.19835218002195354, -0.21243611447251465]","[-0.09783622029803118, -0.026066657092523277]","[-0.18676115992050568, -0.21348575367650297]"
"[-0.11958664205615384, -0.059222631765892264]","[-0.18997924347310235, -0.23181651963425998]","[-0.07683202489427284, 0.0034728052740125824]","[-0.19592391056100739, -0.21267125462418335]"
"[-0.08411099308261633, 0.0117226964721371]","[-0.15100493192416362, -0.19508468524608943]","[-0.07214517455529194, -0.005783862255823813]","[-0.19432132866675486, -0.2170845050938882]"
"[-0.11122119950257792, -0.04909362590746962]","[-0.2072536770244462, -0.23551831604991333]","[-0.08580003853867153, -0.01579524577342465]","[-0.19859969467446995, -0.23434959125993077]"
"[-0.09936492922112952, -0.01953486319005249]","[-0.21464884735948764, -0.273973646270351]","[-0.07173351034788378, -0.008848633596873667]","[-0.19626075915656435, -0.22841343430905664]"
"[-0.07141390957825908, 0.011969119790947697]","[-0.21604701482824196, -0.2144716290739579]","[-0.06615955801142186, 0.017989323274050135]","[-0.19916261601592486, -0.21079138296456806]"
"[-0.11835093706970914, -0.03319803279631763]","[-0.21377166125281896, -0.20959653481821025]","[-0.09296742242289438, -0.03935836609043305]","[-0.19215986349311312, -0.22383438313558202]"
"[-0.12703250759858015, -0.011126198021399632]","[-0.17394683899068286, -0.1984938695316359]","[-0.08008098846549676, -0.00690732713277091]","[-0.17837952308181637, -0.19661014872612126]"
"[-0.08698825995059958, -0.012843815359483758]","[-0.15622007115446881, -0.21625324147063552]","[-0.06705163171822205, -0.002738548363926287]","[-0.20398871784387146, -0.24852984973428083]"
"[-0.06856915569759504, -0.009305767647850445]","[-0.1486647542031412, -0.1905258915775027]","[-0.08176219064498312, -0.015260799102570825]","[-0.18985494160373015, -0.2151346980584843]"
"[-0.08229688219044926, -0.003997811998714303]","[-0.1695664608722408, -0.20326599455827887]","[-0.06461695454103848, -0.0027134200004291452]","[-0.17860121423494385, -0.21147018754061878]"
"[-0.07864759767107056, -0.013125311586155954]","[-0.12436776757326727, -0.17928789747449872]","[-0.08152197546970058, -0.017416995514923563]","[-0.1746202232281616, -0.20456576051802106]"
"[-0.102522745489267, -0.010302612066723253]","[-0.16939849720635616, -0.196632578594007]","[-0.08597663792573651, -0.012023922486638723]","[-0.18587460980070947, -0.20860597902607517]"
"[-0.09098146548530706, -0.027741006921666832]","[-0.17169147809110086, -0.2596923067251338]","[-0.09070122936115114, -0.03107921518012018]","[-0.18132620505345343, -0.20784650587548434]"
"[-0.07062567229950609, -0.003482183809850236]","[-0.15260947702239405, -0.18781381562937086]","[-0.09876770268055618, -0.02937540704783209]","[-0.19270829194878036, -0.2147473354803947]"
"[-0.04781278560668463, -0.010116508414868185]","[-0.17665979947705274, -0.2239512242481609]","[-0.07342225676310857, 0.008463010194081034]","[-0.19863837154691436, -0.21325555912696403]"
"[-0.11751260126289058, -0.018619728023797938]","[-0.19053421168457507, -0.20359769860822904]","[-0.07883113278475869, -0.012043596639973248]","[-0.18245857862748424, -0.20413542767338191]"
"[-0.12432977929046111, -0.03777129863122894]","[-0.2054466763148556, -0.20537309197799306]","[-0.10311000785378248, -0.02774518135185144]","[-0.19513752530854006, -0.21635316454824327]"
"[-0.10468731469517968, -0.011193973153645228]","[-0.16313213050452038, -0.19495169013616573]","[-0.07165427267496077, 0.004093582367814588]","[-0.17818867454805076, -0.19860125974251616]"
"[-0.12025358751174195, -0.019869962431169588]","[-0.15274855976508547, -0.1895794210774082]","[-0.06875973183239316, -0.0031376546317715623]","[-0.1753379901554485, -0.20216716256662948]"
"[-0.13620367710741013, -0.03352010570599846]","[-0.23466033530020716, -0.22501232336064006]","[-0.0876508655351429, -0.00124395786252914]","[-0.21246400383155753, -0.22463147589319446]"
"[-0.12571949874663574, -0.042852477845923546]","[-0.21689980695535188, -0.24406169999039598]","[-0.07903248011318735, -0.001256402512612933]","[-0.1966792702101489, -0.21662030546270628]"
"[-0.11626036734153632, -0.026426488206893545]","[-0.16932274699326022, -0.19401430834090172]","[-0.09077477021986771, -0.014855246800618737]","[-0.19689723572402193, -0.21076877763936486]"
"[-0.12670347674187155, -0.02285865897182605]","[-0.23739116183075368, -0.2244416975398235]","[-0.0913684339775676, -0.004923945182241421]","[-0.21080849925642178, -0.23440257890312383]"
"[-0.08344142716702385, -0.0335089062129871]","[-0.1689810362901175, -0.2784504939771845]","[-0.07208796829925904, -0.004991930624025311]","[-0.19015460683400953, -0.215387192222179]"
"[-0.09881931118878835, -0.020339131444513103]","[-0.19200086731643567, -0.24060897009322219]","[-0.07606727968671406, 0.008638146277831292]","[-0.19451269803091709, -0.20826739011870934]"
"[-0.07894808861346124, -0.013249899447051678]","[-0.16795086333874673, -0.19669474743975346]","[-0.08866856833351643, -0.017538225070822692]","[-0.1932436398128392, -0.21755986660555532]"
"[-0.10175034875826547, -0.021205478156282136]","[-0.19419464464519542, -0.23461783126002092]","[-0.08777047781623443, 0.004285925645474371]","[-0.2020080788048793, -0.21865456545695322]"
"[-0.11970868906989438, -0.061778728658669964]","[-0.21761469324932692, -0.2802940988156052]","[-0.09662245215861001, -0.029573527514078147]","[-0.20613464091416575, -0.23661651915625126]"
"[-0.10048913759810654, -0.020433804734291683]","[-0.1678633050911395, -0.190443971217501]","[-0.08674240324185749, -0.01238263545267363]","[-0.18951715154409085, -0.20310237941782538]"
"[-0.07165829611297006, 0.019694707282577682]","[-0.15879543004271438, -0.19311622826467584]","[-0.06128213524658906, 0.009565657863646444]","[-0.19045109017594686, -0.2240104031188463]"
"[-0.06415482303587706, -0.007714743108437661]","[-0.11904444775707167, -0.1782054628620073]","[-0.08916753442053539, 0.010302435743748745]","[-0.19855357860315528, -0.21420297444974387]"
"[-0.12267520782664107, -0.020754897013543452]","[-0.23491094527530926, -0.22078893534523958]","[-0.09371080915778329, -0.032089914353119336]","[-0.19583089273408058, -0.21714106655705612]"
"[-0.11876599307497276, -0.034026119830553696]","[-0.19444120879002447, -0.23636581799961884]","[-0.06518417835387841, 0.011850332999811444]","[-0.19159361204302128, -0.21611393533031167]"
"[-0.0852898910906705, -0.03609874779603929]","[-0.1685382122472037, -0.20241427261462888]","[-0.0776786783147484, -0.017581298804781202]","[-0.18551570584872107, -0.21456310772471135]"
"[-0.1107932143166348, -0.00928382370856612]","[-0.179841006585832, -0.23045437786526454]","[-0.07052354506760193, -0.006123298063405468]","[-0.19056167670799726, -0.21761632373675377]"
"[-0.10093745591672501, -0.04181648609380912]","[-0.1711616686574638, -0.22575322445824594]","[-0.08703380805044572, -0.001254293821664074]","[-0.19926031959437496, -0.21227613370835025]"
"[-0.08796554845669906, -0.010688833800963972]","[-0.21591173160357485, -0.26985386691406166]","[-0.07771553007788902, -0.011757620255068898]","[-0.2102670613235226, -0.2526242237543869]"
"[-0.07587271512191934, -0.06560727638132381]","[-0.1711959245915555, -0.19948165004775054]","[-0.07113634477389784, 0.004108646786127095]","[-0.19425491257436958, -0.20489567337315776]"
"[-0.07378693429262359, -0.00038739890157867533]","[-0.14387761628363013, -0.1782919310677617]","[-0.05976838213031186, 0.020156989305292396]","[-0.16614327701519635, -0.1903468678842366]"
"[-0.08887175502829849, -0.00037451921061641946]","[-0.18267554069981914, -0.20886897644284647]","[-0.0914094271650144, -0.004822404861891661]","[-0.2049048038471416, -0.21015238259337116]"
"[-0.07059782895419561, 0.0009412367868064573]","[-0.1663578796828026, -0.19509442530462334]","[-0.05820298875968312, 0.021438292427796417]","[-0.17805602912906915, -0.20168324431128362]"
"[-0.08658266172029466, -0.02221595262106096]","[-0.1378541173220381, -0.18459720232654395]","[-0.08236966888511345, -0.01754856092088636]","[-0.185594792553927, -0.21394486308354316]"
"[-0.12909142621268727, -0.015327617545691442]","[-0.17835877701449435, -0.1922564380671628]","[-0.07635139674241784, -0.002933543689626689]","[-0.18000983116044875, -0.1990017831511815]"
"[-0.09781701098050771, -0.044766326543731215]","[-0.16383649135511966, -0.22100939823520718]","[-0.10517783305618028, -0.034293053869975464]","[-0.1930585904568943, -0.22468998584226169]"
"[-0.10380678223853752, -0.022643638555907238]","[-0.15935780280002004, -0.19069054821085327]","[-0.09192052700537535, -0.015776147807346434]","[-0.1890342643139872, -0.20661696865625942]"
"[-0.07655472649232936, 0.00816260974515764]","[-0.17552895026642715, -0.19812751703996737]","[-0.0710630500117252, 0.003431730928192807]","[-0.18418065273645204, -0.22406443850109647]"
"[-0.10223756640910349, -0.011691565877929735]","[-0.1779102462230547, -0.20143819122928505]","[-0.07354591559736408, -0.001956185406279137]","[-0.20071852016242064, -0.2132666156960915]"
"[-0.06199442205427322, -0.058885817555423006]","[-0.13424763922322264, -0.19606056424440937]","[-0.06995214165045979, 0.004244138579769525]","[-0.18401069412231846, -0.20812875967106115]"
"[-0.09398198625097097, -0.015540518453549186]","[-0.16975295013235142, -0.2017748107951345]","[-0.06378460788120624, 0.0007502568151190537]","[-0.16651898863019254, -0.196507733581352]"
"[-0.07750196122244113, 0.017042493959994874]","[-0.2072570691853516, -0.21158944302210955]","[-0.07103481300971143, 0.003624565939468766]","[-0.18496775244352934, -0.20749793307463568]"
"[-0.10740730968148621, -0.0076221132658628125]","[-0.230825543296521, -0.22062712370639526]","[-0.08141528599698455, 0.019780739661957925]","[-0.2024316524550441, -0.20418505538712498]"
"[-0.07937400786516716, -0.0069599400461170125]","[-0.1554806790100177, -0.19421338254010834]","[-0.06774666467383915, 0.013380601513018875]","[-0.20944978738056794, -0.2357542888206443]"
"[-0.08833307992091378, -0.028525998284304067]","[-0.1519692213681331, -0.21178494322333896]","[-0.09236391869233689, -0.013356659016409613]","[-0.22526635186089256, -0.24372710228616848]"
"[-0.08519410971951524, -0.015201887838800499]","[-0.14909797306664557, -0.18993113342308565]","[-0.09429576915433516, -0.01565507336184229]","[-0.19129443732945584, -0.20392424279206542]"
"[-0.10589935979774406, -0.006499565041178882]","[-0.24615180244441306, -0.22875895338316615]","[-0.09102634730669687, 0.020785393409366453]","[-0.20638858527380227, -0.2090679438146107]"
"[-0.07363759397424277, -0.01283550062477004]","[-0.156133370209382, -0.21882751124494307]","[-0.05671816958242622, 0.029436700933495385]","[-0.20141162885249264, -0.23321028102743638]"
"[-0.11895956741147637, -0.034329423263831385]","[-0.20920562727894454, -0.21174040999809346]","[-0.06521834499452253, 0.004289205398605576]","[-0.19543758535221228, -0.228859369640071]"
"[-0.11459497322068904, -0.026406872222829024]","[-0.18123617829228642, -0.2086063885854658]","[-0.08119777990177701, -0.007139149676514911]","[-0.19362750734771736, -0.22025771498699923]"
"[-0.07062090208557234, 0.0009362931636445557]","[-0.16977713650595772, -0.1973309935602121]","[-0.07953274491106888, -0.013674500409634914]","[-0.17701850164551572, -0.20935281550796017]"
"[-0.06790356090469075, 0.008615380951004335]","[-0.14218278921495836, -0.1746767877158171]","[-0.06823344493245939, 0.006076546406763032]","[-0.1863912717323357, -0.20872204673493217]"
"[-0.0977012353010782, -0.019493983699118072]","[-0.15233931496455533, -0.18960081339490376]","[-0.09822246125011508, -0.028642355411249376]","[-0.20424182243334849, -0.23813077808021785]"
"[-0.07833086337269932, 0.007114097830320762]","[-0.16253342015025413, -0.19410273323596058]","[-0.06834160016293932, -0.004452886389676292]","[-0.17729082833241247, -0.208622315879387]"
"[-0.0821918514557259, -0.014214731769640448]","[-0.18427826490714783, -0.22874541462923695]","[-0.08794270432034347, -0.022019830416478068]","[-0.1907878032988013, -0.21233786751364378]"
"[-0.10039711422371281, -0.01883302669000266]","[-0.18797224628619402, -0.23103651056755953]","[-0.06801680488674236, 0.011792602714562067]","[-0.19702279819824572, -0.2143087110220614]"
"[-0.08404701756285216, 0.011334107906003166]","[-0.18243860811205617, -0.19493174575969852]","[-0.09266858082559001, -0.003709432410342802]","[-0.20398521281687368, -0.2165655595523031]"
"[-0.08518331763897441, -0.07155032313673623]","[-0.1671180806419634, -0.22208173944101053]","[-0.08913802739092468, -0.024035171711778668]","[-0.1949812489865442, -0.22706049878561588]"
"[-0.05424030903494416, 0.015359229103551149]","[-0.13221003955157398, -0.18548822537012064]","[-0.06604345624978025, 0.009506084344978526]","[-0.17777212520986652, -0.20237286151189898]"
"[-0.0752026646395845, 0.004570686205855552]","[-0.15588532052492923, -0.19505230735458876]","[-0.07118829989836285, -0.003133167729700924]","[-0.1940490461587652, -0.21290059822216414]"
"[-0.07726735666436362, 0.003112655549894267]","[-0.18519209080272458, -0.2067663154680238]","[-0.08339214722011574, -0.013522292283304043]","[-0.1900405930406182, -0.2135170593390451]"
"[-0.11976975781097389, -0.01981183607153636]","[-0.17199118949130485, -0.20568808901900187]","[-0.10064000030676594, -0.0229644833200691]","[-0.1955519390802493, -0.21409249970187585]"
"[-0.07948210047152003, -0.006956006981735088]","[-0.13458039863411686, -0.17515315217454783]","[-0.06342920235505786, 0.009461342648884513]","[-0.16552623954068396, -0.19096453785525544]"
"[-0.06311054189944307, -0.058899088774956906]","[-0.16352971448484777, -0.2216291736889554]","[-0.08575284478365654, -0.015796129432752465]","[-0.19888433865430316, -0.2219782180241388]"
"[-0.09807572169846736, -0.015585162273572513]","[-0.16664771272139736, -0.19149671587988165]","[-0.08328739622098068, -0.01574459874474141]","[-0.18538355660174802, -0.202959250802647]"
"[-0.08339092363415512, -0.033566729631458216]","[-0.1287506438942648, -0.18434950053540716]","[-0.09084636377615783, -0.035404164632590655]","[-0.18907289564040167, -0.2164384612967584]"
"[-0.11552654179721725, -0.025679702279153543]","[-0.1755776016209462, -0.1976945583955413]","[-0.09694542182664027, -0.02126438510625506]","[-0.17930924568986878, -0.20191999348941986]"
"[-0.08363141827592548, -0.03303462924656475]","[-0.16962274416524828, -0.2487967180711272]","[-0.07837998512412844, -0.004359149524777379]","[-0.19311047422240984, -0.22703421238705765]"
"[-0.0859551377878224, -0.034599769406468334]","[-0.17588363496022966, -0.2005897536758511]","[-0.08192649856263803, -0.013651878026810315]","[-0.19391247770010198, -0.2114924648638497]"
"[-0.10516397186202321, -0.011420825405845901]","[-0.19056022633554487, -0.22764437495497417]","[-0.11091587797681021, -0.02660458652531303]","[-0.1951011155727243, -0.2123640337006837]"
"[-0.09589984111768796, -0.04229049745447104]","[-0.20887999556837714, -0.23822029029909783]","[-0.06697319322667304, 0.011736001903498765]","[-0.20283500050388575, -0.2385851546590188]"
"[-0.09728330921194196, -0.021491433524701075]","[-0.21272514753866756, -0.27835448891432063]","[-0.0727588380550943, 0.011865772235464108]","[-0.19515477802698367, -0.21705711102053046]"
"[-0.08866620782874533, -0.0027112027357935903]","[-0.18700609204214574, -0.207630832403136]","[-0.07850327312369648, 0.004225981617153648]","[-0.19901220539811634, -0.20876043825395454]"
"[-0.11849986408485445, -0.02167068563791456]","[-0.20123706386055776, -0.28512285056704956]","[-0.07465050118198632, -0.012781439522541993]","[-0.18693527535459864, -0.21680843061620841]"
"[-0.07868806336038764, -0.01316541006211975]","[-0.1384621169112974, -0.18055380720980274]","[-0.07162772693555564, -0.010674258905960937]","[-0.17774288476648573, -0.21256568382868823]"
"[-0.06544144665800364, -0.048963725609260884]","[-0.1475782192362792, -0.21699582324796035]","[-0.07702237517108082, -0.011086931948742735]","[-0.18584890776631252, -0.2140662657317458]"
"[-0.09939155470729458, -0.018717186986299806]","[-0.18166684138704445, -0.19301673515854023]","[-0.09113810565265584, -0.019197910323268213]","[-0.20314168346582867, -0.22475652879831548]"
"[-0.09115286961773982, -0.02693373888482588]","[-0.16303401324638178, -0.2343875923565748]","[-0.07740829298473642, -0.001803014440757722]","[-0.19751295896842103, -0.23213780935144765]"
"[-0.1028253516967754, -0.010226662555057454]","[-0.192095371500628, -0.2017666620721713]","[-0.09097273840451253, -0.003720695469404385]","[-0.1974868690235705, -0.20687272900874198]"
"[-0.05898551148011916, -0.005954290038279851]","[-0.11344993460352447, -0.1743575179689298]","[-0.06278337378933596, 0.001563160408307392]","[-0.19479314054400118, -0.2392632033644384]"
"[-0.081404837203526, 0.009099667439706367]","[-0.1729073455619138, -0.21078599485942665]","[-0.07212423140283296, -0.008102008494752526]","[-0.19009786203366827, -0.21808913660689003]"
"[-0.06659353498533474, 0.004750321613745377]","[-0.1438976761727655, -0.1823759700965237]","[-0.06336622525249587, 0.016242324747363007]","[-0.19530659887236207, -0.21066852619577617]"
"[-0.0988681405139587, -0.01887373517381413]","[-0.19134260078090357, -0.23924729920571328]","[-0.07112933811938155, 0.004120306098801141]","[-0.20813101836609224, -0.2252217925675238]"
"[-0.0737812319582694, -0.0003898645848678372]","[-0.13336461161356997, -0.14467526085050214]","[-0.06569703871829867, 0.008967509088419541]","[-0.17887159445817385, -0.20032754322080484]"
"[-0.07368000806610414, -0.0004997578848126491]","[-0.1610802935939284, -0.2001142816252273]","[-0.06452542970373296, 0.012788368709230648]","[-0.18797679828149347, -0.21287063205535858]"
"[-0.0879333729863687, -0.029365540021982887]","[-0.19600304326585877, -0.25358604312668986]","[-0.07796419251666634, -0.017533102540480707]","[-0.17835793545287137, -0.2062096011500038]"
"[-0.07116922210317926, 0.0013464490479861023]","[-0.14204320200226828, -0.1787467749315851]","[-0.065170660399644, 0.011661310457014799]","[-0.1843292594374338, -0.20387694408005566]"
"[-0.11883283870332624, -0.033922314136707606]","[-0.1602464283546175, -0.1918704463428725]","[-0.0994307171263836, -0.03101643557889528]","[-0.19407866766728568, -0.21540528697784944]"
"[-0.1034089255059154, -0.012800168895922682]","[-0.1728938142575782, -0.1975532504022208]","[-0.08195701324611591, -0.01381248338629066]","[-0.1841164849934836, -0.20599440337456718]"
"[-0.0747520400343767, -0.01152709693935006]","[-0.16133740821220582, -0.1868180355565566]","[-0.06775925468291613, -0.0043705863212281084]","[-0.17489601332492746, -0.19993313739603294]"
"[-0.10472825997426258, -0.005514500923096593]","[-0.20226902995343868, -0.24569246532916908]","[-0.06957767480692245, 0.011257383699276423]","[-0.19364807037400605, -0.22926217035977833]"
"[-0.06542784496640607, 0.0055272549756100655]","[-0.19736461189177767, -0.20422235239561645]","[-0.07841676714578545, -0.0012369525792475802]","[-0.19436469402806486, -0.21332696426774816]"
"[-0.10076421298938787, -0.02082880467074236]","[-0.16693999628103068, -0.18889300657825484]","[-0.0878363696530942, -0.0034346610527520153]","[-0.18121716590676765, -0.19976201724667764]"
"[-0.06414827085781673, -0.007862958817295757]","[-0.13126056667528788, -0.18675092220978518]","[-0.0699976277580943, 0.0029506429001042753]","[-0.18520844688872423, -0.20988461597574648]"
"[-0.08957217169173262, -0.07366323338423035]","[-0.17803130481404225, -0.2263457487528208]","[-0.0703186144760237, 0.0036102801518738455]","[-0.17581505776619125, -0.20544725738593558]"
"[-0.07851252960205547, -0.007916622062747122]","[-0.12828394002107524, -0.20683350113288435]","[-0.06391234176468694, 0.005383889390340459]","[-0.1750076756904048, -0.1996501544180776]"
"[-0.0649923319479978, 0.0029671278469587826]","[-0.15746590303950617, -0.18896119627353242]","[-0.06813237195801143, 0.005028956839713381]","[-0.18157206267711812, -0.20019003002607255]"
"[-0.11875050180543921, -0.038653772953086155]","[-0.1738210130660442, -0.19793562345192936]","[-0.06911247429294996, 0.005399148267087602]","[-0.18757135058521637, -0.20730158972129115]"
"[-0.08567566606852638, -0.015482886939087993]","[-0.15743170479760413, -0.23590792613735545]","[-0.07501617732808763, -0.011660867221769008]","[-0.16423830146755508, -0.19468903804476895]"
"[-0.053690281523032166, -0.03228195349660904]","[-0.15058045522142796, -0.2179957364710316]","[-0.06290829603529063, -0.00782437578586004]","[-0.16890662200058917, -0.20235880223234493]"
"[-0.0870342516073369, 0.0008787332103876243]","[-0.18232136584370046, -0.2525622732768949]","[-0.08230793970896773, -0.006146857018224607]","[-0.19473157067658775, -0.2272997568590432]"
"[-0.08281135022067872, 0.013236439734095653]","[-0.20234113436751264, -0.21279344811498438]","[-0.07195105466046088, 0.000777858600664632]","[-0.1767881457412397, -0.20083054391567307]"
"[-0.13006319462771268, -0.0077776590862345405]","[-0.22027678635682155, -0.21039991796780694]","[-0.0762578392539411, 0.006826896614898817]","[-0.17221414142884686, -0.19568070768388665]"
"[-0.13333040522892897, 0.026829378618459434]","[-0.21939057424207792, -0.2113013691055682]","[-0.06994305338324065, -0.0031394417348914335]","[-0.17668173467865053, -0.20767864646044681]"
"[-0.1013102121298034, -0.0027362854766536182]","[-0.15629408343263662, -0.19062418906784054]","[-0.08323412410365602, -0.015299728131633694]","[-0.19794140144748656, -0.2108131089346232]"
"[-0.11120240625158298, -0.0025368916098755124]","[-0.16526542318715043, -0.1946681817427472]","[-0.07909367046711333, -0.012051666847811235]","[-0.19025454169115721, -0.21516934780549224]"
"[-0.09775262322612413, -0.019919362782265783]","[-0.14350847650948054, -0.1619427631863773]","[-0.07102595938206174, 0.0036074659177676932]","[-0.1877154014852979, -0.21316230723106896]"
"[-0.08606431935174039, -0.07265630288432073]","[-0.15117718716087328, -0.19444184489660415]","[-0.09444246641051318, -0.040287472618115334]","[-0.1742048132020879, -0.2080414940421745]"
"[-0.10462288838190294, -0.005521883281081842]","[-0.1594855633432954, -0.213501127688359]","[-0.0716750663339102, 0.009861139903484561]","[-0.18474129772998096, -0.20449926200887755]"
"[-0.10377165235112891, -0.022099829821515305]","[-0.17585367491880427, -0.21119997133445748]","[-0.08975952170986248, -0.006251368436519296]","[-0.19567955334661513, -0.20982143095115258]"
"[-0.11461560707376299, -0.028169636930475944]","[-0.20139684598289692, -0.23414142948732114]","[-0.10088279958536452, -0.022544262858825544]","[-0.19603040678803046, -0.21430038034263232]"
"[-0.09722105037197301, -0.010171042376057185]","[-0.1293615311369189, -0.13342503434629627]","[-0.06897305092533614, 0.00990854083210371]","[-0.18170558745254292, -0.20261043129757408]"
"[-0.12727531532809253, 0.028881351941156097]","[-0.2065293081505456, -0.21540206861908123]","[-0.09030669825802927, 0.02031050849623686]","[-0.21512004801961968, -0.21562199485145345]"
"[-0.08814984687996055, -0.010881113004286866]","[-0.15462246882289474, -0.21315915540193522]","[-0.07286420497000946, 0.005337306617828443]","[-0.1980582252930985, -0.22820741098663147]"
"[-0.1028034672364167, -0.03963409990014662]","[-0.18742219138247448, -0.2631415834006933]","[-0.06481205087288805, -0.010064806303774028]","[-0.18993796189665282, -0.2317115238192714]"
"[-0.08214043047681234, -0.06828012152281987]","[-0.15845521891986358, -0.19218389469086636]","[-0.07477850283211628, 0.0007721518283438524]","[-0.17681999046768168, -0.198009804430816]"
"[-0.08206895317841842, -0.021520476587710564]","[-0.16349801229698896, -0.221425599812796]","[-0.06956654375220804, -0.005751525380565137]","[-0.17765260506121433, -0.20674586995088298]"
"[-0.10149899492148139, -0.011935957124828072]","[-0.17551464686483909, -0.20262358444908274]","[-0.08085050996706197, -0.007038261941786805]","[-0.1752229442460964, -0.20596479791613287]"
"[-0.09694526482235594, -0.010064167084980931]","[-0.16824159251005036, -0.19509933726068576]","[-0.07027982890000925, -0.004386393726581661]","[-0.18215663719440078, -0.203540176211663]"
"[-0.08598225954330711, -0.03527886698374662]","[-0.1678202308440177, -0.2237036304503844]","[-0.09539483998804357, -0.03346505521876276]","[-0.19489791417557661, -0.2159974386693841]"
"[-0.11235122219291963, -0.025033752572407596]","[-0.2098147592495523, -0.21890170844554885]","[-0.09058197939359201, -0.014820101167269149]","[-0.1992890714416965, -0.23091707212148074]"
